name	is_aggregate	case_insensitive	alias_to
AIClassify	0	0	aiClassify
AIExtract	0	0	aiExtract
AIGenerate	0	0	aiGenerate
AITranslate	0	0	aiTranslate
BIT_AND	1	1	groupBitAnd
BIT_OR	1	1	groupBitOr
BIT_XOR	1	1	groupBitXor
CARDINALITY	0	1	length
CAST	0	1	
CHARACTER_LENGTH	0	1	lengthUTF8
CHAR_LENGTH	0	1	lengthUTF8
COVAR_POP	1	1	covarPop
COVAR_SAMP	1	1	covarSamp
CRC32	0	1	
CRC32IEEE	0	1	
CRC64	0	1	
DATABASE	0	1	currentDatabase
DATE	0	1	
DATE_DIFF	0	0	dateDiff
DATE_FORMAT	0	1	formatDateTime
DATE_TRUNC	0	1	dateTrunc
DAY	0	1	toDayOfMonth
DAYOFMONTH	0	1	toDayOfMonth
DAYOFWEEK	0	1	toDayOfWeek
DAYOFYEAR	0	1	toDayOfYear
FORMAT_BYTES	0	1	formatReadableSize
FQDN	0	1	
FROM_BASE64	0	1	base64Decode
FROM_DAYS	0	1	fromDaysSinceYearZero
FROM_UNIXTIME	0	1	fromUnixTimestamp
HMAC	0	1	
HOUR	0	1	toHour
INET6_ATON	0	1	IPv6StringToNum
INET6_NTOA	0	1	IPv6NumToString
INET_ATON	0	1	IPv4StringToNum
INET_NTOA	0	1	IPv4NumToString
IPv4CIDRToRange	0	0	
IPv4NumToString	0	0	
IPv4NumToStringClassC	0	0	
IPv4StringToNum	0	0	
IPv4StringToNumOrDefault	0	0	
IPv4StringToNumOrNull	0	0	
IPv4ToIPv6	0	0	
IPv6CIDRToRange	0	0	
IPv6NumToString	0	0	
IPv6StringToNum	0	0	
IPv6StringToNumOrDefault	0	0	
IPv6StringToNumOrNull	0	0	
JSONAllPaths	0	0	
JSONAllPathsWithTypes	0	0	
JSONAllValues	0	0	
JSONArrayLength	0	0	
JSONDynamicPaths	0	0	
JSONDynamicPathsWithTypes	0	0	
JSONExtract	0	0	
JSONExtractArrayRaw	0	0	
JSONExtractArrayRawCaseInsensitive	0	0	
JSONExtractBool	0	0	
JSONExtractBoolCaseInsensitive	0	0	
JSONExtractCaseInsensitive	0	0	
JSONExtractFloat	0	0	
JSONExtractFloatCaseInsensitive	0	0	
JSONExtractInt	0	0	
JSONExtractIntCaseInsensitive	0	0	
JSONExtractKeys	0	0	
JSONExtractKeysAndValues	0	0	
JSONExtractKeysAndValuesCaseInsensitive	0	0	
JSONExtractKeysAndValuesRaw	0	0	
JSONExtractKeysAndValuesRawCaseInsensitive	0	0	
JSONExtractKeysCaseInsensitive	0	0	
JSONExtractRaw	0	0	
JSONExtractRawCaseInsensitive	0	0	
JSONExtractString	0	0	
JSONExtractStringCaseInsensitive	0	0	
JSONExtractUInt	0	0	
JSONExtractUIntCaseInsensitive	0	0	
JSONHas	0	0	
JSONKey	0	0	
JSONLength	0	0	
JSONMergePatch	0	0	
JSONSharedDataPaths	0	0	
JSONSharedDataPathsWithTypes	0	0	
JSONType	0	0	
JSON_ARRAY_LENGTH	0	1	JSONArrayLength
JSON_EXISTS	0	0	
JSON_QUERY	0	0	
JSON_VALUE	0	0	
L1Distance	0	0	
L1Norm	0	0	
L1Normalize	0	0	
L2Distance	0	0	
L2DistanceTransposed	0	0	
L2Norm	0	0	
L2Normalize	0	0	
L2SquaredDistance	0	0	
L2SquaredNorm	0	0	
LAST_DAY	0	1	toLastDayOfMonth
LinfDistance	0	0	
LinfNorm	0	0	
LinfNormalize	0	0	
LpDistance	0	0	
LpNorm	0	0	
LpNormalize	0	0	
MACNumToString	0	0	
MACStringToNum	0	0	
MACStringToOUI	0	0	
MAP_FROM_ARRAYS	0	0	mapFromArrays
MD4	0	0	
MD5	0	0	
MILLISECOND	0	1	toMillisecond
MINUTE	0	1	toMinute
MONTH	0	1	toMonth
NATURAL_SORT_KEY	0	1	naturalSortKey
OCTET_LENGTH	0	1	length
QUARTER	0	1	toQuarter
REGEXP_EXTRACT	0	1	regexpExtract
REGEXP_MATCHES	0	1	match
REGEXP_REPLACE	0	1	replaceRegexpAll
RIPEMD160	0	0	
SCHEMA	0	1	currentDatabase
SECOND	0	1	toSecond
SHA1	0	0	
SHA224	0	0	
SHA256	0	0	
SHA384	0	0	
SHA512	0	0	
SHA512_256	0	0	
STD	1	1	stddevPop
STDDEV	1	1	stddevSamp
STDDEV_POP	1	1	stddevPop
STDDEV_SAMP	1	1	stddevSamp
ST_LineFromWKB	0	0	readWKBLineString
ST_MLineFromWKB	0	0	readWKBMultiLineString
ST_MPolyFromWKB	0	0	readWKBMultiPolygon
ST_PointFromWKB	0	0	readWKBPoint
ST_PolyFromWKB	0	0	readWKBPolygon
SUBSTRING_INDEX	0	1	substringIndex
SVG	0	0	svg
TIMESTAMP_DIFF	0	0	dateDiff
TO_BASE64	0	1	base64Encode
TO_DAYS	0	1	toDaysSinceYearZero
TO_UNIXTIME	0	1	parseDateTime
URLHash	0	0	
URLHierarchy	0	0	
URLPathHierarchy	0	0	
UTCTimestamp	0	1	
UTC_timestamp	0	1	UTCTimestamp
UUIDNumToString	0	0	
UUIDStringToNum	0	0	
UUIDToNum	0	0	
UUIDv7ToDateTime	0	0	
VAR_POP	1	1	varPop
VAR_SAMP	1	1	varSamp
WKB	0	0	wkb
WKT	0	0	wkt
YEAR	0	1	toYear
YYYYMMDDToDate	0	1	
YYYYMMDDToDate32	0	1	
YYYYMMDDhhmmssToDateTime	0	1	
YYYYMMDDhhmmssToDateTime64	0	0	
_CAST	0	1	
__actionName	0	0	
__applyFilter	0	0	
__bitBoolMaskAnd	0	0	
__bitBoolMaskOr	0	0	
__bitSwapLastTwo	0	0	
__bitWrapperFunc	0	0	
__getScalar	0	0	
__patchPartitionID	0	0	
__scalarSubqueryResult	0	0	
abs	0	1	
accurateCast	0	0	
accurateCastOrDefault	0	0	
accurateCastOrNull	0	0	
acos	0	1	
acosh	0	0	
addDate	0	1	
addDays	0	0	
addHours	0	0	
addInterval	0	0	
addMicroseconds	0	0	
addMilliseconds	0	0	
addMinutes	0	0	
addMonths	0	0	
addNanoseconds	0	0	
addQuarters	0	0	
addSeconds	0	0	
addTupleOfIntervals	0	0	
addWeeks	0	0	
addYears	0	0	
addressToLine	0	0	
addressToLineWithInlines	0	0	
addressToSymbol	0	0	
aes_decrypt_mysql	0	0	
aes_encrypt_mysql	0	0	
age	0	1	
aggThrow	1	0	
aiClassify	0	0	
aiExtract	0	0	
aiGenerate	0	0	
aiTranslate	0	0	
alphaTokens	0	0	
analysisOfVariance	1	1	
and	0	0	
anova	1	1	analysisOfVariance
any	1	0	
anyHeavy	1	0	
anyLast	1	0	
anyLastRespectNulls	1	0	anyLast_respect_nulls
anyLast_respect_nulls	1	0	
anyRespectNulls	1	0	any_respect_nulls
anyValueRespectNulls	1	0	any_respect_nulls
any_respect_nulls	1	0	
any_value	1	1	any
any_value_respect_nulls	1	1	any_respect_nulls
appendTrailingCharIfAbsent	0	0	
approx_top_count	1	1	approx_top_k
approx_top_k	1	1	
approx_top_sum	1	1	
areaCartesian	0	0	
areaSpherical	0	0	
argAndMax	1	0	
argAndMin	1	0	
argMax	1	0	
argMin	1	0	
array	0	0	
arrayAUC	0	0	arrayROCAUC
arrayAUCPR	0	0	
arrayAll	0	0	
arrayAutocorrelation	0	0	
arrayAvg	0	0	
arrayCompact	0	0	
arrayConcat	0	0	
arrayCount	0	0	
arrayCumSum	0	0	
arrayCumSumNonNegative	0	0	
arrayDifference	0	0	
arrayDistinct	0	0	
arrayDotProduct	0	0	
arrayElement	0	0	
arrayElementOrNull	0	0	
arrayEnumerate	0	0	
arrayEnumerateDense	0	0	
arrayEnumerateDenseRanked	0	0	
arrayEnumerateUniq	0	0	
arrayEnumerateUniqRanked	0	0	
arrayExcept	0	0	
arrayExists	0	0	
arrayFill	0	0	
arrayFilter	0	0	
arrayFirst	0	0	
arrayFirstIndex	0	0	
arrayFirstOrNull	0	0	
arrayFlatten	0	0	
arrayFold	0	0	
arrayIntersect	0	0	
arrayJaccardIndex	0	0	
arrayJoin	0	0	
arrayLast	0	0	
arrayLastIndex	0	0	
arrayLastOrNull	0	0	
arrayLevenshteinDistance	0	0	
arrayLevenshteinDistanceWeighted	0	0	
arrayMap	0	0	
arrayMax	0	0	
arrayMin	0	0	
arrayNormalizedGini	0	0	
arrayPRAUC	0	0	arrayAUCPR
arrayPartialReverseSort	0	0	
arrayPartialShuffle	0	1	
arrayPartialSort	0	0	
arrayPopBack	0	0	
arrayPopFront	0	0	
arrayProduct	0	0	
arrayPushBack	0	0	
arrayPushFront	0	0	
arrayROCAUC	0	0	
arrayRandomSample	0	0	
arrayReduce	0	0	
arrayReduceInRanges	0	0	
arrayRemove	0	0	
arrayResize	0	0	
arrayReverse	0	0	
arrayReverseFill	0	0	
arrayReverseSort	0	0	
arrayReverseSplit	0	0	
arrayRotateLeft	0	0	
arrayRotateRight	0	0	
arrayShiftLeft	0	0	
arrayShiftRight	0	0	
arrayShingles	0	0	
arrayShuffle	0	1	
arraySimilarity	0	0	
arraySlice	0	0	
arraySort	0	0	
arraySplit	0	0	
arrayStringConcat	0	0	
arraySum	0	0	
arraySymmetricDifference	0	0	
arrayTranspose	0	0	
arrayUnion	0	0	
arrayUniq	0	0	
arrayWithConstant	0	0	
arrayZip	0	0	
arrayZipUnaligned	0	0	
array_agg	1	1	groupArray
array_concat_agg	1	1	groupArrayArray
array_remove	0	1	arrayRemove
array_to_string	0	1	arrayStringConcat
ascii	0	1	
asin	0	1	
asinh	0	0	
assumeNotNull	0	0	
atan	0	1	
atan2	0	1	
atanh	0	0	
authUser	0	0	authenticatedUser
authenticatedUser	0	0	
avg	1	1	
avg2	0	1	
avgWeighted	1	0	
bar	0	0	
base32Decode	0	0	
base32Encode	0	0	
base58Decode	0	0	
base58Encode	0	0	
base64Decode	0	0	
base64Encode	0	0	
base64URLDecode	0	0	
base64URLEncode	0	0	
basename	0	0	
bin	0	1	
bitAnd	0	0	
bitCount	0	0	
bitHammingDistance	0	0	
bitNot	0	0	
bitOr	0	0	
bitPositionsToArray	0	0	
bitRotateLeft	0	0	
bitRotateRight	0	0	
bitShiftLeft	0	0	
bitShiftRight	0	0	
bitSlice	0	0	
bitTest	0	0	
bitTestAll	0	0	
bitTestAny	0	0	
bitXor	0	0	
bitmapAnd	0	0	
bitmapAndCardinality	0	0	
bitmapAndnot	0	0	
bitmapAndnotCardinality	0	0	
bitmapBuild	0	0	
bitmapCardinality	0	0	
bitmapContains	0	0	
bitmapHasAll	0	0	
bitmapHasAny	0	0	
bitmapMax	0	0	
bitmapMin	0	0	
bitmapOr	0	0	
bitmapOrCardinality	0	0	
bitmapSubsetInRange	0	0	
bitmapSubsetLimit	0	0	
bitmapToArray	0	0	
bitmapTransform	0	0	
bitmapXor	0	0	
bitmapXorCardinality	0	0	
bitmaskToArray	0	0	
bitmaskToList	0	0	
blockNumber	0	0	
blockSerializedSize	0	0	
blockSize	0	0	
boundingRatio	1	0	
buildId	0	0	
byteHammingDistance	0	0	
byteSize	0	0	
byteSlice	0	1	substring
byteSwap	0	1	
caseFoldUTF8	0	0	
caseWithExpr	0	0	caseWithExpression
caseWithExpression	0	0	
caseWithoutExpr	0	0	multiIf
caseWithoutExpression	0	0	multiIf
catboostEvaluate	0	0	
categoricalInformationValue	1	0	
cbrt	0	0	
ceil	0	1	
ceiling	0	1	ceil
changeDay	0	0	
changeHour	0	0	
changeMinute	0	0	
changeMonth	0	0	
changeSecond	0	0	
changeYear	0	0	
char	0	1	
chdb	0	1	
cityHash64	0	0	
clamp	0	0	
coalesce	0	1	
colorOKLABToSRGB	0	0	
colorOKLCHToSRGB	0	0	
colorSRGBToOKLAB	0	0	
colorSRGBToOKLCH	0	0	
compareSubstrings	0	0	
concat	0	1	
concatAssumeInjective	0	0	
concatWithSeparator	0	0	
concatWithSeparatorAssumeInjective	0	0	
concat_ws	0	1	concatWithSeparator
connectionId	0	1	
connection_id	0	1	connectionID
contingency	1	0	
conv	0	0	
convertCharset	0	0	
corr	1	1	
corrMatrix	1	0	
corrStable	1	0	
cos	0	1	
cosh	0	0	
cosineDistance	0	0	
cosineDistanceTransposed	0	0	
count	1	1	
countDigits	0	0	
countEqual	0	0	
countMatches	0	0	
countMatchesCaseInsensitive	0	0	
countSubstrings	0	1	
countSubstringsCaseInsensitive	0	0	
countSubstringsCaseInsensitiveUTF8	0	0	
covarPop	1	0	
covarPopMatrix	1	0	
covarPopStable	1	0	
covarSamp	1	0	
covarSampMatrix	1	0	
covarSampStable	1	0	
cramersV	1	0	
cramersVBiasCorrected	1	0	
cume_dist	1	0	
curdate	0	1	today
currentDatabase	0	0	
currentProfiles	0	0	
currentQueryID	0	0	
currentRoles	0	0	
currentSchemas	0	1	
currentUser	0	0	
current_database	0	1	currentDatabase
current_date	0	1	today
current_query_id	0	1	currentQueryID
current_schemas	0	1	currentSchemas
current_timestamp	0	1	now
current_user	0	1	currentUser
cutFragment	0	0	
cutIPv6	0	0	
cutQueryString	0	0	
cutQueryStringAndFragment	0	0	
cutToFirstSignificantSubdomain	0	0	
cutToFirstSignificantSubdomainCustom	0	0	
cutToFirstSignificantSubdomainCustomRFC	0	0	
cutToFirstSignificantSubdomainCustomWithWWW	0	0	
cutToFirstSignificantSubdomainCustomWithWWWRFC	0	0	
cutToFirstSignificantSubdomainRFC	0	0	
cutToFirstSignificantSubdomainWithWWW	0	0	
cutToFirstSignificantSubdomainWithWWWRFC	0	0	
cutURLParameter	0	0	
cutWWW	0	0	
damerauLevenshteinDistance	0	0	
dateDiff	0	1	
dateName	0	1	
dateTime64ToSnowflake	0	0	
dateTime64ToSnowflakeID	0	0	
dateTimeToSnowflake	0	0	
dateTimeToSnowflakeID	0	0	
dateTimeToUUIDv7	0	0	
dateTrunc	0	0	
date_bin	0	1	toStartOfInterval
date_diff	0	0	dateDiff
decodeHTMLComponent	0	0	
decodeURLComponent	0	0	
decodeURLFormComponent	0	0	
decodeXMLComponent	0	0	
decrypt	0	0	
defaultProfiles	0	0	
defaultRoles	0	0	
defaultValueOfArgumentType	0	0	
defaultValueOfTypeName	0	0	
degrees	0	1	
deltaSum	1	0	
deltaSumTimestamp	1	0	
demangle	0	0	
denseRank	1	0	
dense_rank	1	1	denseRank
dictGet	0	0	
dictGetAll	0	0	
dictGetChildren	0	0	
dictGetDate	0	0	
dictGetDateOrDefault	0	0	
dictGetDateTime	0	0	
dictGetDateTimeOrDefault	0	0	
dictGetDescendants	0	0	
dictGetFloat32	0	0	
dictGetFloat32OrDefault	0	0	
dictGetFloat64	0	0	
dictGetFloat64OrDefault	0	0	
dictGetHierarchy	0	0	
dictGetIPv4	0	0	
dictGetIPv4OrDefault	0	0	
dictGetIPv6	0	0	
dictGetIPv6OrDefault	0	0	
dictGetInt16	0	0	
dictGetInt16OrDefault	0	0	
dictGetInt32	0	0	
dictGetInt32OrDefault	0	0	
dictGetInt64	0	0	
dictGetInt64OrDefault	0	0	
dictGetInt8	0	0	
dictGetInt8OrDefault	0	0	
dictGetKeys	0	0	
dictGetOrDefault	0	0	
dictGetOrNull	0	0	
dictGetString	0	0	
dictGetStringOrDefault	0	0	
dictGetUInt16	0	0	
dictGetUInt16OrDefault	0	0	
dictGetUInt32	0	0	
dictGetUInt32OrDefault	0	0	
dictGetUInt64	0	0	
dictGetUInt64OrDefault	0	0	
dictGetUInt8	0	0	
dictGetUInt8OrDefault	0	0	
dictGetUUID	0	0	
dictGetUUIDOrDefault	0	0	
dictHas	0	0	
dictIsIn	0	0	
displayName	0	0	
distanceCosine	0	1	cosineDistance
distanceCosineTransposed	0	1	cosineDistanceTransposed
distanceL1	0	1	L1Distance
distanceL2	0	1	L2Distance
distanceL2Squared	0	1	L2SquaredDistance
distanceL2Transposed	0	1	L2DistanceTransposed
distanceLinf	0	1	LinfDistance
distanceLp	0	1	LpDistance
distinctDynamicTypes	1	0	
distinctJSONPaths	1	0	
distinctJSONPathsAndTypes	1	0	
divide	0	0	
divideDecimal	0	0	
divideOrNull	0	0	
domain	0	0	
domainRFC	0	0	
domainWithoutWWW	0	0	
domainWithoutWWWRFC	0	0	
dotProduct	0	0	
dumpColumnStructure	0	0	
dynamicElement	0	0	
dynamicType	0	0	
e	0	0	
editDistance	0	0	
editDistanceUTF8	0	0	
empty	0	0	
emptyArrayDate	0	0	
emptyArrayDateTime	0	0	
emptyArrayFloat32	0	0	
emptyArrayFloat64	0	0	
emptyArrayInt16	0	0	
emptyArrayInt32	0	0	
emptyArrayInt64	0	0	
emptyArrayInt8	0	0	
emptyArrayString	0	0	
emptyArrayToSingle	0	0	
emptyArrayUInt16	0	0	
emptyArrayUInt32	0	0	
emptyArrayUInt64	0	0	
emptyArrayUInt8	0	0	
enabledProfiles	0	0	
enabledRoles	0	0	
encodeURLComponent	0	0	
encodeURLFormComponent	0	0	
encodeXMLComponent	0	0	
encrypt	0	0	
endsWith	0	0	
endsWithCaseInsensitive	0	0	
endsWithCaseInsensitiveUTF8	0	0	
endsWithUTF8	0	0	
entropy	1	0	
equals	0	0	
erf	0	0	
erfc	0	0	
errorCodeToName	0	0	
estimateCompressionRatio	1	0	
evalMLMethod	0	0	
exp	0	1	
exp10	0	0	
exp2	0	0	
exponentialMovingAverage	1	0	
exponentialTimeDecayedAvg	1	0	
exponentialTimeDecayedCount	1	0	
exponentialTimeDecayedMax	1	0	
exponentialTimeDecayedSum	1	0	
extract	0	0	
extractAll	0	0	
extractAllGroups	0	0	extractAllGroupsVertical
extractAllGroupsHorizontal	0	0	
extractAllGroupsVertical	0	0	
extractGroups	0	0	
extractKeyValuePairs	0	0	
extractKeyValuePairsWithEscaping	0	0	
extractTextFromHTML	0	0	
extractURLParameter	0	0	
extractURLParameterNames	0	0	
extractURLParameters	0	0	
factorial	0	1	
farmFingerprint64	0	0	
farmHash64	0	0	
file	0	0	
filesystemAvailable	0	0	
filesystemCapacity	0	0	
filesystemUnreserved	0	0	
finalizeAggregation	0	0	
financialInternalRateOfReturn	0	0	
financialInternalRateOfReturnExtended	0	0	
financialNetPresentValue	0	0	
financialNetPresentValueExtended	0	0	
firstLine	0	0	
firstNonDefault	0	1	
firstSignificantSubdomain	0	0	
firstSignificantSubdomainCustom	0	0	
firstSignificantSubdomainCustomRFC	0	0	
firstSignificantSubdomainRFC	0	0	
firstValueRespectNulls	1	0	any_respect_nulls
first_value	1	1	any
first_value_respect_nulls	1	1	any_respect_nulls
flameGraph	1	0	
flatten	0	1	arrayFlatten
flattenTuple	0	0	
flipCoordinates	0	0	
floor	0	1	
format	0	0	
formatDateTime	0	0	
formatDateTimeInJodaSyntax	0	0	
formatQuery	0	0	
formatQueryOrNull	0	0	
formatQuerySingleLine	0	0	
formatQuerySingleLineOrNull	0	0	
formatReadableDecimalSize	0	0	
formatReadableQuantity	0	0	
formatReadableSize	0	0	
formatReadableTimeDelta	0	0	
formatRow	0	0	
formatRowNoNewline	0	0	
fragment	0	0	
fromDaysSinceYearZero	0	0	
fromDaysSinceYearZero32	0	0	
fromModifiedJulianDay	0	0	
fromModifiedJulianDayOrNull	0	0	
fromUTCTimestamp	0	0	
fromUnixTimestamp	0	0	
fromUnixTimestamp64Micro	0	0	
fromUnixTimestamp64Milli	0	0	
fromUnixTimestamp64Nano	0	0	
fromUnixTimestamp64Second	0	0	
fromUnixTimestampInJodaSyntax	0	0	
from_utc_timestamp	0	1	fromUTCTimestamp
fullHostName	0	0	FQDN
fuzzBits	0	0	
fuzzQuery	0	0	
gccMurmurHash	0	0	
gcd	0	0	
generateRandomStructure	0	0	
generateSerialID	0	0	
generateSnowflakeID	0	0	
generateUUIDv4	0	0	
generateUUIDv7	0	0	
geoDistance	0	0	
geoToH3	0	0	
geohashDecode	0	0	
geohashEncode	0	0	
geohashesInBox	0	0	
getClientHTTPHeader	0	0	
getMacro	0	0	
getMaxTableNameLengthForDatabase	0	0	
getMergeTreeSetting	0	0	
getOSKernelVersion	0	0	
getServerPort	0	0	
getServerSetting	0	0	
getSetting	0	0	
getSettingOrDefault	0	0	
getSizeOfEnumType	0	0	
getSubcolumn	0	0	
getTypeSerializationStreams	0	0	
globalIn	0	0	
globalInIgnoreSet	0	0	
globalNotIn	0	0	
globalNotInIgnoreSet	0	0	
globalNotNullIn	0	0	
globalNotNullInIgnoreSet	0	0	
globalNullIn	0	0	
globalNullInIgnoreSet	0	0	
globalVariable	0	0	
greatCircleAngle	0	0	
greatCircleDistance	0	0	
greater	0	0	
greaterOrEquals	0	0	
greatest	0	1	
groupArray	1	0	
groupArrayInsertAt	1	0	
groupArrayIntersect	1	0	
groupArrayLast	1	0	
groupArrayMovingAvg	1	0	
groupArrayMovingSum	1	0	
groupArraySample	1	0	
groupArraySorted	1	0	
groupBitAnd	1	0	
groupBitOr	1	0	
groupBitXor	1	0	
groupBitmap	1	0	
groupBitmapAnd	1	0	
groupBitmapOr	1	0	
groupBitmapXor	1	0	
groupConcat	1	0	
groupNumericIndexedVector	1	0	
groupUniqArray	1	0	
group_concat	1	1	groupConcat
h3CellAreaM2	0	0	
h3CellAreaRads2	0	0	
h3Distance	0	0	
h3EdgeAngle	0	0	
h3EdgeLengthKm	0	0	
h3EdgeLengthM	0	0	
h3ExactEdgeLengthKm	0	0	
h3ExactEdgeLengthM	0	0	
h3ExactEdgeLengthRads	0	0	
h3GetBaseCell	0	0	
h3GetDestinationIndexFromUnidirectionalEdge	0	0	
h3GetFaces	0	0	
h3GetIndexesFromUnidirectionalEdge	0	0	
h3GetOriginIndexFromUnidirectionalEdge	0	0	
h3GetPentagonIndexes	0	0	
h3GetRes0Indexes	0	0	
h3GetResolution	0	0	
h3GetUnidirectionalEdge	0	0	
h3GetUnidirectionalEdgeBoundary	0	0	
h3GetUnidirectionalEdgesFromHexagon	0	0	
h3HexAreaKm2	0	0	
h3HexAreaM2	0	0	
h3HexRing	0	0	
h3IndexesAreNeighbors	0	0	
h3IsPentagon	0	0	
h3IsResClassIII	0	0	
h3IsValid	0	0	
h3Line	0	0	
h3NumHexagons	0	0	
h3PointDistKm	0	0	
h3PointDistM	0	0	
h3PointDistRads	0	0	
h3PolygonToCells	0	0	
h3ToCenterChild	0	0	
h3ToChildren	0	0	
h3ToGeo	0	0	
h3ToGeoBoundary	0	0	
h3ToParent	0	0	
h3ToString	0	0	
h3UnidirectionalEdgeIsValid	0	0	
h3kRing	0	0	
halfMD5	0	0	
has	0	0	
hasAll	0	0	
hasAllToken	0	0	hasAllTokens
hasAllTokens	0	0	
hasAny	0	0	
hasAnyToken	0	0	hasAnyTokens
hasAnyTokens	0	0	
hasColumnInTable	0	0	
hasPhrase	0	0	
hasSubsequence	0	1	
hasSubsequenceCaseInsensitive	0	1	
hasSubsequenceCaseInsensitiveUTF8	0	1	
hasSubsequenceUTF8	0	1	
hasSubstr	0	0	
hasThreadFuzzer	0	0	
hasToken	0	0	
hasTokenCaseInsensitive	0	1	
hasTokenCaseInsensitiveOrNull	0	1	
hasTokenOrNull	0	0	
hex	0	1	
highlight	0	0	
highlightQuery	0	0	
hilbertDecode	0	0	
hilbertEncode	0	0	
histogram	1	0	
hiveHash	0	0	
hop	0	0	
hopEnd	0	0	
hopStart	0	0	
hostName	0	0	
hostname	0	0	hostName
hypot	0	1	
icebergBucket	0	0	
icebergHash	0	0	
icebergTruncate	0	0	
identity	0	0	
if	0	1	
ifNotFinite	0	0	
ifNull	0	1	
ignore	0	0	
ilike	0	0	
in	0	0	
inIgnoreSet	0	0	
indexHint	0	0	
indexOf	0	0	
indexOfAssumeSorted	0	0	
initcap	0	1	
initcapUTF8	0	0	
initialQueryID	0	0	
initialQueryStartTime	0	0	
initial_query_id	0	1	initialQueryID
initial_query_start_time	0	1	initialQueryStartTime
initializeAggregation	0	0	
instr	0	1	positionCaseInsensitive
intDiv	0	0	
intDivOrNull	0	0	
intDivOrZero	0	0	
intExp10	0	0	
intExp2	0	0	
intHash32	0	0	
intHash64	0	0	
intervalLengthSum	1	0	
isASCII	0	0	isValidASCII
isConstant	0	0	
isDecimalOverflow	0	0	
isDistinctFrom	0	0	
isDynamicElementInSharedData	0	0	
isFinite	0	0	
isIPAddressInRange	0	0	
isIPv4String	0	0	
isIPv6String	0	0	
isInfinite	0	0	
isMergeTreePartCoveredBy	0	1	
isNaN	0	0	
isNotDistinctFrom	0	0	
isNotNull	0	0	
isNull	0	1	
isNullable	0	0	
isPrime	0	0	
isProbablePrime	0	0	
isValidASCII	0	0	
isValidJSON	0	0	
isValidUTF8	0	0	
isZeroOrNull	0	0	
jaroSimilarity	0	0	
jaroWinklerSimilarity	0	0	
javaHash	0	0	
javaHashUTF16LE	0	0	
joinGet	0	0	
joinGetOrNull	0	0	
jsonMergePatch	0	0	JSONMergePatch
jumpConsistentHash	0	0	
kafkaMurmurHash	0	0	
keccak256	0	0	
kolmogorovSmirnovTest	1	1	
kostikConsistentHash	0	0	
kql_array_sort_asc	0	0	
kql_array_sort_desc	0	0	
kurtPop	1	0	
kurtSamp	1	0	
lag	1	1	
lagInFrame	1	0	
largestTriangleThreeBuckets	1	0	
lastValueRespectNulls	1	0	anyLast_respect_nulls
last_value	1	1	anyLast
last_value_respect_nulls	1	1	anyLast_respect_nulls
lcase	0	1	lower
lcm	0	0	
lead	1	1	
leadInFrame	1	0	
least	0	1	
left	0	1	
leftPad	0	0	
leftPadUTF8	0	0	
leftUTF8	0	0	
length	0	1	
lengthUTF8	0	0	
less	0	0	
lessOrEquals	0	0	
levenshteinDistance	0	0	editDistance
levenshteinDistanceUTF8	0	0	editDistanceUTF8
lgamma	0	0	
like	0	0	
ln	0	1	log
locate	0	1	
log	0	1	
log10	0	1	
log1p	0	0	
log2	0	1	
logTrace	0	0	
lowCardinalityIndices	0	0	
lowCardinalityKeys	0	0	
lower	0	1	
lowerUTF8	0	0	
lpad	0	1	leftPad
ltrim	0	0	trimLeft
lttb	1	0	largestTriangleThreeBuckets
makeDate	0	1	
makeDate32	0	1	
makeDateTime	0	1	
makeDateTime64	0	1	
mannWhitneyUTest	1	0	
map	0	0	
mapAdd	0	0	
mapAll	0	0	
mapApply	0	0	
mapConcat	0	0	
mapContains	0	0	mapContainsKey
mapContainsKey	0	0	
mapContainsKeyLike	0	0	
mapContainsValue	0	0	
mapContainsValueLike	0	0	
mapExists	0	0	
mapExtractKeyLike	0	0	
mapExtractValueLike	0	0	
mapFilter	0	0	
mapFromArrays	0	0	
